City,State,Number_of_Shootings,Population,Annual_Shootings_per_100k
Tucson,Arizona,52,542629,1.06
Tulsa,Oklahoma,38,413066,1.02
Tyler,Texas,1,105995,0.1
Vacaville,California,3,102386,0.33
Vallejo,California,6,126090,0.53
Vancouver,Washington,12,190915,0.7
Victorville,California,7,134810,0.58
Virginia Beach,Virginia,10,459470,0.24
Visalia,California,6,141384,0.47
Waco,Texas,5,138486,0.4
Warren,Michigan,2,139387,0.16
Waterbury,Connecticut,1,114403,0.1
West Covina,California,2,109501,0.2
West Jordan,Utah,8,116961,0.76
West Palm Beach,Florida,6,117415,0.57
Westminster,Colorado,12,116317,1.15
Wichita,Kansas,17,397532,0.48
Wichita Falls,Texas,5,102316,0.54
Wilmington,North Carolina,5,115451,0.48
Winston-Salem,North Carolina,4,249545,0.18
Worcester,Massachusetts,1,206518,0.05
Yonkers,New York,3,211569,0.16
